CHEMBL1084170	C[C@@H]1C[C@H](O)CCCc2cc(O)cc(O)c2C(=O)O1
CHEMBL553689	Cc1ccc2c(c1)/C(=N/O)C(=O)N2c1ccccc1
CHEMBL611047	C#CC1c2cc(O)c(OC)cc2CCN1C
CHEMBL1090695	CCOC(=O)C1=C(O)CC(c2ccccc2)N(C(O)CN2CCSCC2)C1c1ccccc1
CHEMBL563301	COC(=O)CCc1nc(C2CC(c3ccc(O)c(F)c3)=NO2)no1
CHEMBL589736	C=CCOC(=O)C1=C(C)N=C(C)/C(=C(\O)OCC=C)C1c1ccc(OC)c(OC)c1
CHEMBL591437	CCCCN(Cc1cccc(C)c1O)C(=S)Nc1ccccc1
CHEMBL160341	COCc1c(O)c(=O)cc(C)n1C
CHEMBL601490	Oc1ccc(Cl)cc1Nc1ncnc2ccc(Br)cc12
CHEMBL571980	CCC(CC)Nc1ccc(O)c2ccccc12
CHEMBL584197	COc1cc(C[C@H]2CO[C@H](O)[C@@H]2Cc2ccc(O)c(OC)c2)ccc1O
CHEMBL157397	CCc1ccc(N(O)C(C)=O)cc1
CHEMBL602514	O=C(C1=C(O)c2ccccc2S(=O)(=O)N1Cc1ccccc1)c1ccccc1
CHEMBL603735	CC(=C\c1ccccc1)/C(C)=N/O
CHEMBL1076555	Oc1ccc(Nc2nc(-c3ccc(Cl)cc3)cs2)cc1
CHEMBL609468	Cc1ccccc1NC(=O)Nc1ccc([N+](=O)[O-])cc1O
CHEMBL1094912	COc1ccc(CC2COc3c(C)c(O)c(C)c(O)c3C2=O)c(O)c1
CHEMBL1160711	CC(C)NC[C@H](O)c1ccc(NS(C)(=O)=O)c(O)c1
CHEMBL1171716	O=S(=O)(c1ccc(Br)cc1)N1CCN(Cc2ccc3cccnc3c2O)CC1
CHEMBL606709	COC(=O)/C=C/C(=O)N[C@H]1C[C@@]23C=C[C@]1(OC)[C@@H]1Oc4c(O)ccc5c4C12CCN(C)[C@@H]3C5
CHEMBL1093690	CC(=O)NCC[C@@H](NS(=O)(=O)c1ccc(Br)cc1)C(=O)NO
CHEMBL1083881	O=C1c2ccc(Br)cc2C(=O)N1c1ccc(O)cc1
CHEMBL1094324	NC(Cc1nsnc1O)C(=O)O
CHEMBL1161558	COc1cc(CC(=O)NCCOC(=O)[C@@H](N)CCSC)ccc1O
CHEMBL1077248	Oc1ccc(/N=C(/Cc2ccc(F)cc2)c2ccc(O)c(O)c2)cc1
CHEMBL1076637	N[C@H](Cc1ccc(O)cc1)C(=O)O
CHEMBL610484	CC(=O)Nc1ccc(/C=N/NC(=O)c2nc(-c3ccc(O)cc3)no2)cc1
CHEMBL1091275	Cc1cccc(-c2nn(O)cc2C2CCNCC2)c1
CHEMBL1165348	N/C(=N\O)c1cccc(CSCCNC(=O)c2c(Cl)cccc2Cl)c1
CHEMBL1097664	O=C(CCc1ccccc1O)CC(O)Cc1ccccc1
CHEMBL1099227	COc1cc(O)c2c(c1)[C@@H](O)[C@H](C[C@H](O)[C@H](O)[C@@H](O)/C=C/C[C@H](C)O)OC2=O
CHEMBL607490	O=C(CCc1ccccc1)N(O)CCCP(=O)(O)O
