mol_rank,mol_id,step,smiles,bde,ip,reward
1,6,10,CN(c1cc(O)c(CNO)c2c1C2)C1(CO)C=CON1,71.84150695800781,154.5874013189748,1.1106632336212665
1,8,0,Cc1c(C)c(O)c(C)c(N(C)C)c1C,75.52070815,131.8333658,1.1279661330359954
1,8,1,Cc1c(C)c(CN)c(N(C)C)c(C)c1O,81.87923431396484,165.83618434031905,1.1254124545847444
1,8,2,Cc1c(C)c2c(c(C)c1O)N(C)C=NC2,81.87923431396484,148.15324254473447,1.0056584066906413
1,8,3,Cc1c(O)c(C)c2c(c1CN)CN=CN2C,82.015869140625,160.06162348669469,1.0390489996697754
1,8,4,Cc1c(O)c(C)c2c(c1CNO)CN=CN2C,81.99567413330078,168.70682531247138,1.0452122446239875
1,8,5,Cc1c(O)c(C=N)c2c(c1CNO)CN=CN2C,71.84151458740234,162.1473977876395,1.3757591609418662
1,8,6,Cc1c(O)c(C=NO)c2c(c1CNO)CN=CN2C,71.84151458740234,164.44446312913595,1.3509618836780104
1,8,7,C=CN1C=NCc2c(CNO)c(C)c(O)c(C=NO)c21,71.84150695800781,152.30572013644874,1.2575574350001664
1,8,8,C=CN1C=NCc2c(CNO)c(C)c(O)c(C=NO)c21,71.84150695800781,132.17932208613158,1.1261906427494772
1,8,9,C=CN1C=NCc2c(CNO)c(C)c(O)c(C=NO)c21,71.84150695800781,158.51527994893195,1.2513546375843234
1,8,10,C=CN1C=NCc2c(CNO)c(C)c(O)c(C=NO)c21,71.84150695800781,152.67041669491977,1.223576402292988
1,11,0,Cc1ccc(N(C)C)c(C)c1O,79.21046107,133.7786437,1.0833651210887105
1,11,1,Cc1ccc(N(C)C)c(CN)c1O,82.80176544189453,163.40889607414007,1.0777685305779392
1,11,2,Cc1ccc(N(C)C=N)c(CN)c1O,85.51909637451172,166.8251917118907,0.9459813366189141
1,11,3,Cc1ccc(N(C)C=N)c(CNO)c1O,85.51909637451172,168.89794502617718,0.9141656154342689
1,11,4,Cc1ccc(N(C)C=N)c(CNO)c1O,71.84151458740234,172.98092329060137,1.4272464596822396
1,11,5,Cc1ccc(N(C)C=N)c(CNO)c1O,71.84151458740234,176.64020369371326,1.4446375170290198
1,11,6,Cc1ccc(N(C)C=N)c(CNO)c1O,71.84151458740234,165.6419361809641,1.3923672671550853
1,11,7,Cc1ccc(N(C)C=N)c(CNO)c1O,71.84151458740234,163.8369271625653,1.3837888003822918
1,11,8,Cc1cc(N)c(N(C)C=N)c(CNO)c1O,71.84151458740234,155.67511795473396,1.34499907225264
1,11,9,CNc1cc(C)c(O)c(CNO)c1N(C)C=N,71.84150695800781,168.64537011789233,1.364974987471371
1,11,10,Cc1cc(NC=N)c(N(C)C=N)c(CNO)c1O,71.84151458740234,148.17939723006486,1.2260416558708167
