mol_rank,mol_id,step,smiles,bde,ip,reward
0,11,0,Cc1cc(N(C)C)c(C)c(C)c1O,73.12989886,127.5851299,1.0710801384967128
0,11,1,Cc1cc(N(C)C)c(C)c(C#N)c1O,82.1949462890625,157.36130548717975,1.0727778165492563
0,11,2,Cc1c(N(C)C)cc(CN)c(O)c1C#N,86.12583923339844,169.09401272855848,0.9362212247111216
0,11,3,Cc1c(N(C)C)cc(C(N)N)c(O)c1C#N,88.3743896484375,169.4268911666438,0.8113330892275918
0,11,4,Cc1c(N(C)C)cc(C(N)(N)N)c(O)c1C#N,86.60009765625,172.7611644163847,0.8581640617633876
0,11,5,Cc1c(N(C)C)cc(C(N)(N)NO)c(O)c1C#N,84.614013671875,174.53681779699028,0.9058771272582394
0,11,6,Cc1c(N(C)C)cc(C(N)(N)NO)c(O)c1C#N,73.04412078857422,172.6233107509196,1.3111689780944102
0,11,7,Cc1ccc(C(N)(N)NO)c(O)c1C#N,73.04412078857422,164.31004133830817,1.2716594217972186
0,11,8,Cc1cc(O)c(C(N)(N)NO)c(O)c1C#N,73.04412078857422,188.14807452211082,1.5003364216029371
0,11,9,Cc1cc(O)c(C(N)(NO)NO)c(O)c1C#N,72.9336929321289,168.03371397740543,1.370601750316685
0,11,10,CONC(N)(NO)c1c(O)cc(C)c(C#N)c1O,73.79813385009766,150.5119403960511,1.2150320568975692
0,14,0,Cc1c(O)cc(N(C)C)c(C)c1N(C)C,77.50363659,128.5514937,1.1042656584968622
0,14,1,Cc1c(N(C)C)cc(O)c2ccn(C)c12,81.74466705322266,155.69053888256252,1.0824613519009836
0,14,2,Cc1c(N(C)C)cc(O)c2ccn(CO)c12,75.0261001586914,152.31323266707062,1.312709544211161
0,14,3,Cc1c(N(C)C)cc(O)c2c(N)cn(CO)c12,75.0261001586914,162.76283287329375,1.329038870312947
0,14,4,Cc1c(N(C)C)cc(O)c2c(N)cn(C(=N)O)c12,78.53213500976562,155.29379809240996,1.1229815028910735
0,14,5,Cc1c(N(C)C)cc(O)c2c(N)cn(C(=N)ON)c12,78.53213500976562,157.72661749448181,1.1012103613208557
0,14,6,Cc1c(N(C)C)cc(O)c2c(N)cn(C(=N)ONO)c12,78.53214263916016,157.08282296654582,1.0648170383064572
0,14,7,Cc1c(N(C)C)cc(O)c2c(N)c(C)n(C(=N)ONO)c12,73.64281463623047,162.79931273507626,1.2500209327220448
0,14,8,Cc1c(N(C)C)cc(O)c2c(N)c(C)n(C(=N)ONO)c12,73.64281463623047,152.03064234335125,1.1655085303641566
0,14,9,C=Nc1c(C)n(C(=N)ONO)c2c(C)c(N(C)C)cc(O)c12,73.64281463623047,151.9156953328699,1.1649622344177128
0,14,10,Cc1c(N(C)C)cc(O)c2c3c(n(C(=N)ONO)c12)C=C=N3,73.64281463623047,153.8853583907038,1.1409899009037683
0,15,0,Cc1c(N(C)C)cc(O)cc1N(C)C,79.28576215,133.0444582,1.1899785853301248
0,15,1,Cc1c(N(C)C)cc(O)c(O)c1N(C)C,79.7494125366211,159.42058490494787,1.1782833177924292
0,15,2,CN(C)c1cc(O)c(O)c2c1CCN2C,75.20726776123047,152.33743413567544,1.2866860151679083
0,15,3,CN(C)c1cc(O)c(O)c2c1CCN2CN,72.13780975341797,148.19196049598455,1.3692662273452296
