rank 0/1 started on maple-1.maple.cluster
All ranks is initialized
rank: 0 init_mols: ['C(C(=O)O)N(CC(=O)O)CC(=O)O']
episodes: 0, episode time: 0.628, remaining time: 124.935, reward: 0.157, loss: None
episodes: 69, episode time: 0.542, remaining time: 70.421, reward: 1.914, loss: 3.6012835893779993
episodes: 70, episode time: 0.538, remaining time: 69.455, reward: 1.924, loss: 3.5389096090537415
episodes: 71, episode time: 0.536, remaining time: 68.623, reward: 1.926, loss: 3.4785184244914302
episodes: 72, episode time: 0.784, remaining time: 99.518, reward: 1.572, loss: 3.552369283543805
episodes: 73, episode time: 0.424, remaining time: 53.480, reward: 1.615, loss: 3.4936765507484475
episodes: 74, episode time: 0.521, remaining time: 65.115, reward: 1.640, loss: 3.4368538022896304
episodes: 75, episode time: 0.702, remaining time: 87.053, reward: 1.853, loss: 3.6338220899023357
episodes: 76, episode time: 0.416, remaining time: 51.139, reward: 1.602, loss: 3.700686071304575
episodes: 77, episode time: 0.425, remaining time: 51.799, reward: 1.612, loss: 3.643486926390324
episodes: 78, episode time: 0.422, remaining time: 51.107, reward: 1.611, loss: 3.5879358428028914
episodes: 79, episode time: 0.420, remaining time: 50.451, reward: 1.653, loss: 3.534156541086056
episodes: 80, episode time: 0.519, remaining time: 61.770, reward: 1.609, loss: 3.4817245016847527
episodes: 81, episode time: 0.438, remaining time: 51.719, reward: 1.636, loss: 3.43099013620111
episodes: 82, episode time: 0.433, remaining time: 50.667, reward: 1.603, loss: 3.381577000642816
episodes: 83, episode time: 0.424, remaining time: 49.127, reward: 1.633, loss: 3.3335801684962854
episodes: 84, episode time: 0.427, remaining time: 49.105, reward: 1.634, loss: 3.2870074377565737
episodes: 85, episode time: 0.514, remaining time: 58.639, reward: 1.633, loss: 3.3500960586437336
episodes: 86, episode time: 0.425, remaining time: 48.081, reward: 1.412, loss: 3.304590995742442
episodes: 87, episode time: 0.432, remaining time: 48.398, reward: 1.691, loss: 3.2601575395847493
episodes: 88, episode time: 0.429, remaining time: 47.570, reward: 1.707, loss: 3.2169520338873068
episodes: 89, episode time: 0.426, remaining time: 46.859, reward: 1.747, loss: 3.1747872754563824
episodes: 90, episode time: 0.425, remaining time: 46.284, reward: 1.716, loss: 3.2351339501631142
episodes: 91, episode time: 0.423, remaining time: 45.721, reward: 1.572, loss: 3.193866087135692
episodes: 92, episode time: 0.417, remaining time: 44.628, reward: 1.713, loss: 3.1535509463187448
episodes: 93, episode time: 0.434, remaining time: 46.019, reward: 1.660, loss: 3.114345859817695
episodes: 94, episode time: 0.440, remaining time: 46.173, reward: 1.704, loss: 3.0760627950852117
episodes: 95, episode time: 0.446, remaining time: 46.381, reward: 1.661, loss: 3.0386940347053475
episodes: 96, episode time: 0.624, remaining time: 64.253, reward: 1.626, loss: 3.0024183080026723
episodes: 97, episode time: 0.439, remaining time: 44.749, reward: 1.551, loss: 3.0597534999140494
episodes: 98, episode time: 0.433, remaining time: 43.720, reward: 1.709, loss: 3.0238799073349902
episodes: 99, episode time: 0.536, remaining time: 53.573, reward: 1.609, loss: 2.9888321029152287
episodes: 100, episode time: 0.427, remaining time: 42.317, reward: 1.710, loss: 2.954590088698542
episodes: 101, episode time: 0.427, remaining time: 41.892, reward: 1.728, loss: 3.0098588504108856
episodes: 102, episode time: 0.424, remaining time: 41.146, reward: 1.611, loss: 2.9761743250020434
episodes: 103, episode time: 0.884, remaining time: 84.823, reward: 1.637, loss: 2.943274518278324
episodes: 104, episode time: 0.452, remaining time: 42.921, reward: 1.577, loss: 2.911096788523207
episodes: 105, episode time: 0.455, remaining time: 42.783, reward: 1.609, loss: 2.8796291077691736
episodes: 106, episode time: 0.722, remaining time: 67.157, reward: 1.998, loss: 2.8488091726096405
episodes: 107, episode time: 0.431, remaining time: 39.637, reward: 1.993, loss: 2.901627283999102
episodes: 108, episode time: 0.442, remaining time: 40.235, reward: 1.637, loss: 2.8712754078797604
episodes: 109, episode time: 0.531, remaining time: 47.758, reward: 1.720, loss: 2.8415144308140348
episodes: 110, episode time: 0.460, remaining time: 40.910, reward: 1.728, loss: 2.8123564624237183
episodes: 111, episode time: 0.436, remaining time: 38.390, reward: 1.590, loss: 2.7838121784033674
episodes: 112, episode time: 0.542, remaining time: 47.141, reward: 1.631, loss: 2.834634762586593
episodes: 113, episode time: 0.428, remaining time: 36.840, reward: 1.623, loss: 2.88444293118082
episodes: 114, episode time: 0.429, remaining time: 36.477, reward: 1.682, loss: 2.8560485939154088
episodes: 115, episode time: 0.424, remaining time: 35.582, reward: 1.702, loss: 2.828157689760202
episodes: 116, episode time: 0.426, remaining time: 35.353, reward: 1.688, loss: 2.8007891593971155
episodes: 117, episode time: 0.432, remaining time: 35.451, reward: 1.697, loss: 2.773976505957902
episodes: 118, episode time: 0.411, remaining time: 33.277, reward: 2.057, loss: 2.8219775665462725
episodes: 119, episode time: 0.417, remaining time: 33.356, reward: 2.077, loss: 2.7954508418410593
episodes: 120, episode time: 0.422, remaining time: 33.333, reward: 2.016, loss: 2.7694297839373907
episodes: 121, episode time: 0.413, remaining time: 32.251, reward: 2.013, loss: 2.888430946385833
episodes: 122, episode time: 0.451, remaining time: 34.695, reward: 2.071, loss: 2.862020531242047
episodes: 123, episode time: 0.445, remaining time: 33.807, reward: 2.056, loss: 2.836143696621399
episodes: 124, episode time: 0.444, remaining time: 33.316, reward: 1.947, loss: 2.8810103597824237
episodes: 125, episode time: 0.564, remaining time: 41.734, reward: 1.826, loss: 2.8553924544498193
episodes: 126, episode time: 0.448, remaining time: 32.692, reward: 2.029, loss: 2.8301973565836
episodes: 127, episode time: 0.440, remaining time: 31.648, reward: 2.046, loss: 2.8054641554083086
episodes: 128, episode time: 0.448, remaining time: 31.783, reward: 2.057, loss: 2.7811911136559817
episodes: 129, episode time: 0.444, remaining time: 31.077, reward: 1.952, loss: 2.824610628894177
episodes: 130, episode time: 0.446, remaining time: 30.748, reward: 1.649, loss: 2.8006111011864285
episodes: 131, episode time: 0.435, remaining time: 29.582, reward: 1.621, loss: 2.7769772737776326
episodes: 132, episode time: 0.433, remaining time: 29.017, reward: 1.606, loss: 2.7537341746932067
episodes: 133, episode time: 0.437, remaining time: 28.811, reward: 1.675, loss: 2.7308792552600303
episodes: 134, episode time: 0.435, remaining time: 28.306, reward: 1.685, loss: 2.7083811736396277
episodes: 135, episode time: 0.440, remaining time: 28.180, reward: 1.639, loss: 2.686279779582544
episodes: 136, episode time: 0.436, remaining time: 27.448, reward: 1.614, loss: 2.727965849209425
episodes: 137, episode time: 0.629, remaining time: 38.974, reward: 1.869, loss: 2.7060560053364644
episodes: 138, episode time: 0.418, remaining time: 25.494, reward: 2.027, loss: 2.6844860859140756
episodes: 139, episode time: 0.420, remaining time: 25.174, reward: 2.106, loss: 2.663239927674156
episodes: 140, episode time: 0.420, remaining time: 24.809, reward: 1.991, loss: 2.6424161796861396
episodes: 141, episode time: 0.421, remaining time: 24.405, reward: 2.012, loss: 2.682825951873383
episodes: 142, episode time: 0.413, remaining time: 23.554, reward: 1.952, loss: 2.6621398641475182
episodes: 143, episode time: 0.419, remaining time: 23.442, reward: 2.021, loss: 2.6417301525576757
episodes: 144, episode time: 0.416, remaining time: 22.904, reward: 2.063, loss: 2.6216318234161453
episodes: 145, episode time: 0.418, remaining time: 22.596, reward: 1.993, loss: 2.601867475243511
episodes: 146, episode time: 0.435, remaining time: 23.044, reward: 2.067, loss: 2.5824161949882605
episodes: 147, episode time: 0.427, remaining time: 22.215, reward: 2.068, loss: 2.5632483461079425
episodes: 148, episode time: 0.433, remaining time: 22.063, reward: 1.652, loss: 2.5443700922032195
episodes: 149, episode time: 0.432, remaining time: 21.611, reward: 1.707, loss: 2.583126309081255
episodes: 150, episode time: 0.433, remaining time: 21.240, reward: 1.614, loss: 2.56438367218323
episodes: 151, episode time: 0.444, remaining time: 21.309, reward: 1.702, loss: 2.545872194118852
episodes: 152, episode time: 0.433, remaining time: 20.352, reward: 1.753, loss: 2.5276531144078795
episodes: 153, episode time: 0.450, remaining time: 20.703, reward: 1.745, loss: 2.5096822858987644
episodes: 154, episode time: 0.428, remaining time: 19.256, reward: 1.751, loss: 2.491943764348402
episodes: 155, episode time: 0.435, remaining time: 19.118, reward: 1.668, loss: 2.474489348625738
episodes: 156, episode time: 0.432, remaining time: 18.596, reward: 1.669, loss: 2.4572935729854173
episodes: 157, episode time: 0.436, remaining time: 18.309, reward: 1.703, loss: 2.4403508993176124
episodes: 158, episode time: 0.430, remaining time: 17.644, reward: 1.594, loss: 2.4235727518250973
episodes: 159, episode time: 0.418, remaining time: 16.709, reward: 2.123, loss: 2.407086463565364
episodes: 160, episode time: 0.419, remaining time: 16.347, reward: 2.081, loss: 2.390839056495172
episodes: 161, episode time: 0.414, remaining time: 15.717, reward: 2.066, loss: 2.374770057107624
episodes: 162, episode time: 0.415, remaining time: 15.359, reward: 2.051, loss: 2.358927522376555
episodes: 163, episode time: 0.414, remaining time: 14.897, reward: 2.084, loss: 2.3432715078288067
episodes: 164, episode time: 0.416, remaining time: 14.557, reward: 2.030, loss: 2.3278638896754393
episodes: 165, episode time: 0.419, remaining time: 14.243, reward: 2.047, loss: 2.364000703805543
episodes: 166, episode time: 0.411, remaining time: 13.576, reward: 2.108, loss: 2.3486214475675786
episodes: 167, episode time: 0.414, remaining time: 13.236, reward: 1.989, loss: 2.3334696083541284
episodes: 168, episode time: 0.408, remaining time: 12.653, reward: 1.998, loss: 2.3185046473668227
episodes: 169, episode time: 0.418, remaining time: 12.536, reward: 2.028, loss: 2.3037151392185105
episodes: 170, episode time: 0.421, remaining time: 12.223, reward: 2.117, loss: 2.3388235268811846
episodes: 171, episode time: 0.418, remaining time: 11.697, reward: 2.084, loss: 2.324094004501718
episodes: 172, episode time: 0.406, remaining time: 10.967, reward: 2.055, loss: 2.309566698637469
episodes: 173, episode time: 0.444, remaining time: 11.544, reward: 1.663, loss: 2.295238756897743
episodes: 174, episode time: 0.433, remaining time: 10.821, reward: 1.683, loss: 2.2810681213000037
episodes: 175, episode time: 0.429, remaining time: 10.289, reward: 1.711, loss: 2.267102327948022
episodes: 176, episode time: 0.433, remaining time: 9.957, reward: 1.598, loss: 2.253290633462438
episodes: 177, episode time: 0.427, remaining time: 9.389, reward: 1.670, loss: 2.2396427020515746
episodes: 178, episode time: 0.434, remaining time: 9.119, reward: 1.720, loss: 2.2261557685521742
episodes: 179, episode time: 0.431, remaining time: 8.611, reward: 1.700, loss: 2.212817814759349
episodes: 180, episode time: 0.426, remaining time: 8.089, reward: 1.723, loss: 2.1996580332567817
episodes: 181, episode time: 0.416, remaining time: 7.486, reward: 2.049, loss: 2.1866426915845034
episodes: 182, episode time: 0.419, remaining time: 7.115, reward: 2.024, loss: 2.1738090090613436
episodes: 183, episode time: 0.416, remaining time: 6.661, reward: 1.972, loss: 2.1611372031956253
episodes: 184, episode time: 0.431, remaining time: 6.471, reward: 1.712, loss: 2.1485972900994734
episodes: 185, episode time: 0.439, remaining time: 6.142, reward: 1.731, loss: 2.1362162245637846
episodes: 186, episode time: 0.435, remaining time: 5.659, reward: 1.625, loss: 2.1239578546929265
episodes: 187, episode time: 0.439, remaining time: 5.271, reward: 1.586, loss: 2.1118489305419184
episodes: 188, episode time: 0.438, remaining time: 4.817, reward: 1.689, loss: 2.099859968027366
episodes: 189, episode time: 0.438, remaining time: 4.382, reward: 1.652, loss: 2.088004136190813
