smiles,success,failed
O=CC1OC(O)C2=C(C(=O)O)N21, 1000, 0
O=CCOC(O)C1=C(C(=O)O)N1, 1000, 0
O=C(O)C1=C(CO)N1, 1000, 0
OCC1=C(C(O)O)N1, 1000, 0
CC(O)(O)C1=C(CO)N1, 1000, 0
C=CC(O)(O)C1=C(CO)N1, 1000, 0
C=C1OC1(O)C1=C(CO)N1, 1000, 0
C=C1OC1(O)C1=C(C(C)O)N1, 1000, 0
C=C1OC1(O)C1=C(C(C)OC)N1, 1000, 0
C=CC(O)(O)C1=C(C(C)OC)N1, 1000, 0
C=CC(O)(O)C1=C(C(CC)OC)N1, 1000, 0
C=CC(O)(O)C1=C(C(CC=O)OC)N1, 999, 1
C=CC(O)(O)C1=C(C(CC=O)OCO)N1, 1000, 0
C=CC(O)(O)C1=C(C(OCO)C(O)C=O)N1, 1000, 0
C=CC(O)(O)C1=C2C(C(O)C=O)OC(O)N21, 1000, 0
C=CC(O)(O)C1=C(CC(O)C=O)N1C(O)O, 1000, 0
C=CC(O)(O)C1=C(C(N)C(O)C=O)N1C(O)O, 1000, 0
C=CC(O)(O)C1=C(C(N)C(O)=C=O)N1C(O)O, 999, 1
C=CC(O)(O)C1C(C(N)C(O)=C=O)N1C(O)O, 1000, 0
C=C(C)C(O)(O)C1C(C(N)C(O)=C=O)N1C(O)O, 999, 1
C=C(C)C(O)(O)CC(NC(O)O)C(N)C(O)=C=O, 994, 6
C=C(C)C(O)(O)C(=C)C(NC(O)O)C(N)C(O)=C=O, 996, 4
C=C(C(NC(O)O)C(N)C(O)=C=O)C(O)(O)CC, 998, 2
C=C(C(NC(O)O)C(N)(N)C(O)=C=O)C(O)(O)CC, 995, 5
C=C(C(O)(O)CC)C(C)(NC(O)O)C(N)(N)C(O)=C=O, 993, 7
C=C1C(O)(O)CCCC1(NC(O)O)C(N)(N)C(O)=C=O, 995, 5
C=C1C(O)(O)C(=N)CCC1(NC(O)O)C(N)(N)C(O)=C=O, 997, 3
C=C1C(O)(O)C(=N)CCC1(NC(O)O)C(N)(NC)C(O)=C=O, 991, 9
C=C1C(O)(O)C(=N)CCC12NC(O)(O)NC2(NC)C(O)=C=O, 965, 35
C=C1C(O)(O)C(=N)CCC12NC(O)(O)NC2(NC)C(O)=C=O, 965, 35
C=C1C(O)(O)C(=N)CCC1(NC(O)O)C(N)(NC)C(O)=C=O, 993, 7
C=C1C(O)(O)C(=N)CCC1(NCO)C(N)(NC)C(O)=C=O, 987, 13
C=C1C(O)(O)C(=N)CCC1(NCO)C(N)(NCC)C(O)=C=O, 986, 14
C=C1C(O)(O)C(=N)CCC1(NCO)C(N=O)(NCC)C(O)=C=O, 985, 15
C=C1C(O)(O)C(=N)CCC1(NC(N)O)C(N=O)(NCC)C(O)=C=O, 984, 16
C=C1C(O)(O)C(=N)CCC1(NC(N)O)C(N=O)(NCCO)C(O)=C=O, 991, 9
C=C1C(O)(O)C(=N)CC(C)C1(NC(N)O)C(N=O)(NCCO)C(O)=C=O, 985, 15
O=C(O)CN(CC(=O)O)CC(=O)O, 999, 1
CC(C(=O)O)N(CC(=O)O)CC(=O)O, 999, 1
CC(C(=O)O)N(CC(=O)O)C(N)C(=O)O, 997, 3
CC(C(=O)O)N(CC(=O)ON)C(N)C(=O)O, 1000, 0
C=C(C(=O)O)N(CC(=O)ON)C(N)C(=O)O, 1000, 0
C=C(C(=O)O)N(CC(=O)ON)C(=N)C(=O)O, 992, 8
C=C(NC(=N)C(=O)O)C(=O)O, 999, 1
C=C(NC(=N)C(=O)OC)C(=O)O, 1000, 0
C=C(NC(=N)C(=O)OCO)C(=O)O, 999, 1
C=CNC(=N)C(=O)OCO, 1000, 0
C=CNC(=N)COCO, 1000, 0
N=C(COCO)N1C=C1, 1000, 0
OCOC1N=C1N1C=C1, 1000, 0
OC1N=C1N1C=C1, 998, 2
NC1=CN1C1=NC1O, 1000, 0
ONC1=CN1C1=NC1O, 1000, 0
CC1=C(NO)N1C1=NC1O, 998, 2
CC1=C(NO)N1C1=NC1, 1000, 0
CC1=C(NO)N1CCN, 982, 18
CC1=C2NOC(CN)N12, 1000, 0
CC1=C(NO)N1CCN, 985, 15
CC1=C(NO)N1C(N)CN, 1000, 0
CC1=C2NONC(CN)N12, 1000, 0
CC1C2NONC(CN)N12, 1000, 0
NCC1NONC2C(C=O)N12, 1000, 0
CC12NONC(CN)N1C2C=O, 1000, 0
CC12NONC(C#N)N1C2C=O, 1000, 0
CC12NONC(C#N)N1C2CO, 997, 3
CC12CN1C(C#N)NON2, 998, 2
CC1(C#N)NONC2(C)CN12, 998, 2
CCC12CN1C(C)(C#N)NON2, 999, 1
CCC12NONC(C)(C#N)N1C2O, 1000, 0
CCC12NONC(C#N)(C#N)N1C2O, 991, 9
CCC12NONC(C#N)(C#N)N1C2ON, 999, 1
CCC1(NO)C(ON)N1C(N)(C#N)C#N, 992, 8
N#CC(N)(C#N)N1C2ONCCC21NO, 1000, 0
N#CC(N)N1C2ONCCC21NO, 999, 1
N#CC(N)N1C2ON=CCC21NO, 852, 148
CC(N)(C#N)N1C2ON=CCC21NO, 871, 129
CC(N)N1C2ON=CCC21NO, 1000, 0
CC1(N)C2=NOC3N1C3(NO)C2, 3, 997
O=C(O)CN(CC(=O)O)CC(=O)O, 999, 1
O=C(O)CN(CCO)CC(=O)O, 1000, 0
O=C(O)CN(CCO)C(=O)C(=O)O, 1000, 0
N=C(O)CN(CC(=O)O)C(=O)C(=O)O, 998, 2
N=C(O)C1C(C(=O)O)N1C(=O)C(=O)O, 1000, 0
N=C(O)C1N(C(=O)C(=O)O)C12OC2=O, 999, 1
O=C(O)C(=O)N1C(CO)C12OC2=O, 1000, 0
O=C(C(O)O)N1C(CO)C12OC2=O, 1000, 0
NOC(O)C(=O)N1C(CO)C12OC2=O, 1000, 0
CC1(CO)N(C(=O)C(O)ON)C12OC2=O, 1000, 0
NOC(O)C(=O)N1C2(C=C2O)C12OC2=O, 1000, 0
O=C(C(O)ONO)N1C2(C=C2O)C12OC2=O, 999, 1
O=C(C(O)ONO)N1C2(OC2=O)C12C1=C2O1, 1000, 0
O=CC1(O)N(C(=O)C(O)ONO)C12C1=C2O1, 987, 13
O=CC1(O)N(C(=O)CONO)C12C1=C2O1, 870, 130
NOC1(C=O)N(C(=O)CONO)C12C1=C2O1, 881, 119
NOC1(C=O)C(C2=CO2)N1C(=O)CONO, 887, 113
CNOC1(C=O)C(C2=CO2)N1C(=O)CONO, 881, 119
CNOC1(C=O)C(C2=CO2)N1C(=O)C(O)ONO, 988, 12
CNOC1(C=O)N(C(=O)C(O)ONO)C1(C)C1=CO1, 980, 20
C=CC1(C2=CO2)N(C(=O)C(O)ONO)C1(C=O)ONC, 984, 16
C=CC1(C2=CO2)N(C(=O)C(O)ONOC)C1(C=O)ONC, 990, 10
C=CC1(C2=CO2)N(C(=O)C(O)ONOC)C1(O)C=O, 989, 11
CC=CC1(C2=CO2)N(C(=O)C(O)ONOC)C1(O)C=O, 988, 12
CC=CC1(COC)N(C(=O)C(O)ONOC)C1(O)C=O, 990, 10
CC=CC1(COC)N(C(=O)C(=O)ONOC)C1(O)C=O, 992, 8
C#COCC1(C=CC)N(C(=O)C(=O)ONOC)C1(O)C=O, 659, 341
C#COCC12C=CCOC1(C=O)N2C(=O)C(=O)ONOC, 977, 23
C#COCC12C=CCOC1(C(C)=O)N2C(=O)C(=O)ONOC, 971, 29
C#COCC1N(C(=O)C(=O)ONOC)C1(OCC=C)C(C)=O, 729, 271
C#COCC1N(C(=O)C(=O)ON)C1(OCC=C)C(C)=O, 715, 285
C=CCOC1(C(C)=O)C(CO)N1C(=O)C(=O)ON, 991, 9
C=C1COC2(C(=O)C1)C(CO)N2C(=O)C(=O)ON, 997, 3
C=C(C)COC1(C=O)C(CO)N1C(=O)C(=O)ON, 994, 6
CC1=C=C1OC1(C=O)C(CO)N1C(=O)C(=O)ON, 990, 10
CC1=C=C1OC(C=O)N(CCO)C(=O)C(=O)ON, 1000, 0
NOC(=O)C(=O)N(CCO)C(C=O)OC1=C=C1C=O, 1000, 0
NOC(=O)C(=O)N1CCOC(=O)C1OC1=C=C1C=O, 1000, 0
NOC(=O)C(=O)N1CCOC(=O)C1(N)OC1=C=C1C=O, 1000, 0
NOCC(=O)N1CCOC(=O)C1(N)OC1=C=C1C=O, 896, 104
NOCC(=O)N1CCOC(=O)C1(N)OC1=CC1C=O, 957, 43
O=C(O)CN(CC(=O)O)CC(=O)O, 996, 4
NOC(=O)CN(CC(=O)O)CC(=O)O, 998, 2
NOC(=O)CN(CC(=O)O)C1OC1=O, 997, 3
COC(=O)CN(CC(=O)ON)C1OC1=O, 995, 5
COC(O)CN(CC(=O)ON)C1OC1=O, 1000, 0
COC(O)CN(C(N)C(=O)ON)C1OC1=O, 998, 2
C=NOC(=O)C(N)N(CC(O)OC)C1OC1=O, 993, 7
C=NOC(=O)C(N)N(CC(O)OCO)C1OC1=O, 995, 5
O=C1OC1NCC(O)OCO, 1000, 0
N=C(O)OC(O)CNC1OC1=O, 996, 4
N=C(O)OC(O)C1NC12OC2=O, 1000, 0
N=C(O)OC(O)C1NC12OC2=O, 1000, 0
N=C(O)OC(O)C1N(O)C12OC2=O, 1000, 0
COC(=N)OC(O)C1N(O)C12OC2=O, 1000, 0
COC(=N)OC(N)(O)C1N(O)C12OC2=O, 1000, 0
N=C(O)OC(N)(O)C1N(O)C12OC2=O, 1000, 0
N=C(O)OC(N)C1N(O)C12OC2=O, 1000, 0
N=C(O)OC1NON2C1C21OC1=O, 1000, 0
N=C1OC2NON3C4(OC4=O)C23O1, 909, 91
N=C1OC2NON(C3OC3=O)C2O1, 753, 247
CN=C1OC2NON(C3OC3=O)C2O1, 793, 207
CN=C1OC(N)C(N(O)C2OC2=O)O1, 999, 1
CN=C1OC(N)C(N(O)C2OC2O)O1, 997, 3
CN=C1OC2NC3(O)OC3N(O)C2O1, 974, 26
CN=C1OC2NC34OC3N(O)C2(O1)O4, 550, 450
CN=C1OC2N(C)C34OC3N(O)C2(O1)O4, 570, 430
CN1C2OC(=N)OC23OC12OC2N3O, 563, 437
CN1C2OC(=N)OC2(NO)OC12CO2, 754, 246
CN1C2(CO2)OC2(NO)OC(=N)OC12N, 755, 245
CN1C2(CO2)OC2(NO)OCOC12N, 771, 229
CN1C2(CO2)OC(NO)C1(N)OCO, 1000, 0
CN1C2(CO2)OC(NO)C1(N=O)OCO, 1000, 0
CN1C(CO)OC(NO)C1(N=O)OCO, 998, 2
CN1C(CO)OC(NO)C1(N=O)OC(=N)O, 1000, 0
CN1C(CO)OC(N(O)O)C1(N=O)OC(=N)O, 1000, 0
N=C(O)OC1(N=O)C(N(O)O)OC2COCN21, 969, 31
N=C(O)OC1(N=O)N2COCC2OC1(O)N(O)O, 953, 47
N=C(O)OC1(N=O)C(O)OC2COCN21, 951, 49
N=C(O)OC1C(O)OC2COCN21, 968, 32
OC1OC2COCN2C1OC1=NO1, 963, 37
OC1OCCOCNC1OC1=NO1, 1000, 0
O=C(O)CN(CC(=O)O)CC(=O)O, 998, 2
CN(CC(=O)O)CC(=O)O, 998, 2
CN(CC=O)CC(=O)O, 998, 2
CC(C(=O)O)N(C)CC=O, 1000, 0
CN(CC=O)C(C=O)C(=O)O, 998, 2
O=CCN1CC1(C=O)C(=O)O, 991, 9
O=CC1=C2N1C2(C=O)C(=O)O, 979, 21
O=CC1(C(=O)O)C2=C(C(=O)O)N21, 978, 22
O=C1OC(=O)C2(C(=O)O)C3=C1N32, 194, 806
O=C1CN2CC2(C(=O)O)C(=O)O1, 997, 3
NC1C(=O)OC(=O)C2(C(=O)O)CN12, 999, 1
COC(=O)C12CN1C(N)C(=O)OC2=O, 1000, 0
C=NC1C(=O)OC(=O)C2(C(=O)OC)CN12, 999, 1
C=NC1C(=O)OC(=O)C2(C(=O)OCO)CN12, 999, 1
C=NC1C(=O)OC(=O)C23C(=O)OC(O)=C2N13, 999, 1
O=C1CN2C3=C(O)OC(=O)C32C(=O)O1, 1000, 0
O=C1CN2CC2(C(=O)OCO)C(=O)O1, 999, 1
C=C1N2CC(=O)OC(=O)C12C(=O)OCO, 1000, 0
O=C1CN2CC2(C(=O)OCO)C(=O)O1, 1000, 0
O=C1CN2CC2(C(=O)OCO)CO1, 1000, 0
O=C1CN2CC23C(=O)OC(O)C3O1, 978, 22
O=C1OC2C(O)OC(=O)C23CN3C1=O, 983, 17
O=C1OC2C(=O)OC(=O)C23CN3C1=O, 967, 33
CC1N2C(=O)C(=O)OC3C(=O)OC(=O)C312, 978, 22
CC1N2C(=O)C(=O)OC3(N)C(=O)OC(=O)C123, 952, 48
CCC12NC(=O)C(=O)OC1(N)C(=O)OC2=O, 861, 139
C=NC12OC(=O)C(=O)NC1(CC)C(=O)OC2=O, 854, 146
C=NC12OC(=O)C(=O)NC1(CC)C(=O)OC2O, 881, 119
C#CCC12NC(=O)C(=O)OC1(N=C)C(O)OC2=O, 865, 135
C#CCC12NC(=O)C(=O)OC13N=COC3OC2=O, 708, 292
O=C1NC2(C3C#C3)C(=O)OC3OC=NC32OC1=O, 14, 986
O=COC1OC=NC12OC(=O)C(=O)NC2C1C#C1, 28, 972
O=COC1OC=NC12OC(=O)C(O)NC2C1C#C1, 134, 866
O=C1OC23N=COC2OC(=O)C2(C#C2)C3NC1O, 46, 954
O=C(OC1OC=NC12CNC(O)C(=O)O2)C1C#C1, 45, 955
NC1=NC2(CNC(O)C(=O)O2)C(OC(=O)C2C#C2)O1, 45, 955
NCC1(OC(=O)CO)N=C(N)OC1OC(=O)C1C#C1, 31, 969
NCC(N=C(N)OCOC(=O)C1C#C1)OC(=O)CO, 24, 976
NC(=O)C(N=C(N)OCOC(=O)C1C#C1)OC(=O)CO, 25, 975
NC(=NC(C=O)OC(=O)CO)OCOC(=O)C1C#C1, 29, 971
CNC(=NC(C=O)OC(=O)CO)OCOC(=O)C1C#C1, 23, 977
O=C(O)CN(CC(=O)O)CC(=O)O, 997, 3
O=CCN(CC(=O)O)CC(=O)O, 997, 3
CC(=O)CN(CC(=O)O)CC(=O)O, 997, 3
CC(=O)CN(CC(=O)O)CC(O)O, 997, 3
CC(=O)C1C(C(O)O)N1CC(=O)O, 1000, 0
O=C(O)CN1CC1C(O)O, 1000, 0
O=C(O)CN1CC12OC2O, 999, 1
COC1OC12CN2CC(=O)O, 1000, 0
N#COC1OC12CN2CC(=O)O, 944, 56
N#COC1(O)OC12CN2CC(=O)O, 948, 52
O=C(O)CN1CC12OC2O, 999, 1
O=C(O)CN1CC12OC2O, 999, 1
CN(CC(=O)O)C1OC1O, 999, 1
COC1OC1N(C)CC(=O)O, 1000, 0
COC1=C(N(C)CC(=O)O)O1, 998, 2
COC1=C(N2CC2C(=O)O)O1, 1000, 0
O=COC1=C(N2CC2C(=O)O)O1, 1000, 0
O=COC1=C(N2CC2CO)O1, 1000, 0
O=COC1=CO1, 1000, 0
O=COC=CO, 998, 2
COC=COC=O, 1000, 0
O=COC=COCO, 999, 1
O=COC(O)=COCO, 1000, 0
O=COC(O)=C1OC1O, 1000, 0
NC(=O)OC(O)=C1OC1O, 998, 2
NC(=O)OC=C1OC1O, 1000, 0
NC(=O)OC=C1OC1=O, 1000, 0
NC(O)OC=C1OC1=O, 1000, 0
CNC(O)OC=C1OC1=O, 1000, 0
CN(O)C(O)OC=C1OC1=O, 1000, 0
O=C1OC1=COC(O)NO, 1000, 0
O=C1OC1=COC(O)=NO, 1000, 0
O=CC(O)=COC(O)=NO, 1000, 0
C=C(O)C=O, 999, 1
C=C(O)C(=O)O, 1000, 0
C=C(ON)C(=O)O, 999, 1
C=CON, 1000, 0
C=C=CON, 1000, 0
CON, 1000, 0
CON, 1000, 0
NCON, 1000, 0
O=C(O)CN(CC(=O)O)CC(=O)O, 999, 1
NC(C(=O)O)N(CC(=O)O)CC(=O)O, 999, 1
NC1(C(=O)O)C(C(=O)O)N1CC(=O)O, 992, 8
NOC(=O)C1N(CC(=O)O)C1(N)C(=O)O, 994, 6
CNOC(=O)C1N(CC(=O)O)C1(N)C(=O)O, 997, 3
C#CNOC(=O)C1N(CC(=O)O)C1(N)C(=O)O, 795, 205
C#CNOC(=O)C1N(C(O)C(=O)O)C1(N)C(=O)O, 754, 246
C#CNOC(=O)C1N2C(O)C(=O)ONC12C(=O)O, 736, 264
C#CNOC(=O)C1C(C(=O)O)N1C(O)C(=O)ON, 895, 105
C#CNOC(=O)C1N(C(O)C(=O)ON)C1(N)C(=O)O, 796, 204
CNOC(=O)C1N(C(O)C(=O)ON)C1(N)C(=O)O, 999, 1
CNOC(=O)C1N(C(O)C(=O)ON)C1(N)CO, 998, 2
N=CNOC(=O)C1N(C(O)C(=O)ON)C1(N)CO, 1000, 0
CC(O)(C(=O)ON)N1C(C(=O)ONC=N)C1(N)CO, 999, 1
COCC1(N)C(C(=O)ONC=N)N1C(C)(O)C(=O)ON, 999, 1
COCC1(N)C(C(=O)ONC=N)N1C(C)O, 999, 1
COCC1(NO)C(C(=O)ONC=N)N1C(C)O, 998, 2
COC1OC(C)N2C(C(=O)ONC=N)C12NO, 1000, 0
C=COC1OC(C)N2C(C(=O)ONC=N)C12NO, 1000, 0
C=C1OC2OC(C)N3C(C(=O)ONC=N)C23N1O, 984, 16
C=C1OCOC(C)N2C(C(=O)ONC=N)C2N1O, 1000, 0
C=C1OCOC(C)N2C(C(=O)ON)C2N1O, 999, 1
CC1OCOC(=CN)N(O)C2C(C(=O)ON)N12, 1000, 0
CC1OC(O)OC(=CN)N(O)C2C(C(=O)ON)N12, 1000, 0
CNOC(=O)C1C2N(O)C(=CN)OC(O)OC(C)N12, 1000, 0
CC1OC(O)OC(=CN)N(O)C2CN12, 1000, 0
CC1OC(O)OC(CN)N(O)C2CN12, 1000, 0
CC1OC(O)OC(CN)N(O)CN1C, 999, 1
CC12CN1CN(O)C(CN)OC(O)O2, 1000, 0
CC1CN1CN(O)C(CN)OC(O)O, 1000, 0
COC(O)OC(CN)N(O)CN1CC1C, 1000, 0
COC(O)OC1(CN)CC2CN2CN1O, 999, 1
COC(O)OC12CN=C(N3CC3C1)N2O, 834, 166
COC(N)(O)OC12CN=C(N3CC3C1)N2O, 834, 166
COC(N)(O)OC12CCCNC(=NC1)N2O, 745, 255
COC(N)(O)OC12CCCNC(=NC1)N2, 774, 226
COC(N)(O)OC12CCC=NC(=NC1)N2, 771, 229
COC(N)(O)OC12CN=C(N=CC(O)C1)N2, 780, 220
COC(O)(N=O)OC12CN=C(N=CC(O)C1)N2, 785, 215
COC(O)(N=O)OC12CN=C(N=CC(O)C1)N2C, 734, 266
CN1C2=NCC13OC(O)(N=O)OCC3C(O)C=N2, 778, 222
O=C(O)CN(CC(=O)O)CC(=O)O, 1000, 0
O=C(O)CN(CC(=O)O)C1OC1=O, 994, 6
NC(C(=O)O)N(CC(=O)O)C1OC1=O, 993, 7
NC(C(=O)O)N1CC(=O)OC12OC2=O, 999, 1
NC1(C(=O)O)C2C(=O)OC3(OC3=O)N21, 992, 8
NC1(C(=O)O)C2C(=O)OC(O)(C=O)N21, 1000, 0
NC1(C(=O)O)C2C(=O)OC(O)N21, 997, 3
NC12C(=O)OC3(O)OC(=O)C1N32, 816, 184
O=NC12C(=O)OC3(O)OC(=O)C1N32, 835, 165
O=NC12NC1C(=O)OC(O)OC2=O, 997, 3
NC1(O)OC(=O)C2NC2(N=O)C(=O)O1, 1000, 0
NC1(O)OC(=O)C2NC2(NO)C(=O)O1, 999, 1
NC1(O)OC(=O)CNC(NO)C(=O)O1, 1000, 0
NC1(O)OC(=O)CNC(N(O)O)C(=O)O1, 999, 1
NC1(O)OC(=O)CNCC(=O)O1, 1000, 0
CN1CC(=O)OC(N)(O)OC(=O)C1, 1000, 0
CN1CC(=O)OC(N)(O)OC(=O)C1O, 1000, 0
C=C1C(=O)OC(N)(O)OC(=O)C(O)N1C, 1000, 0
C=C1C(=O)OC(N)(O)OCC(O)N1C, 1000, 0
C=C1C(=O)OC(N)(O)OCC(O)N1CC, 987, 13
C=C1C(=O)OC(O)(NO)OCC(O)N1CC, 993, 7
C=C1C(=O)OC2(O)NOC(O2)C(O)N1CC, 853, 147
C=C1C(=O)OC2(ON)NOC(O2)C(O)N1CC, 874, 126
C=C1C(=O)OC(NO)(ON)OCC(O)N1CC, 995, 5
C=C1C(=O)OC(NO)(ON)OC2CCN1C2O, 756, 244
C=C1C(=O)OC(NO)(ON)OC2C(C)CN1C2O, 723, 277
C=C1C(=O)OC(NO)(ON)OC2C(CC)CN1C2O, 747, 253
C=C1C(=O)OC(NO)(ON)OC2C3CN1C2OC3C, 520, 480
CC1OC2C3OC(NO)(ON)OC(=O)C(=C=O)N2CC13, 542, 458
CC1OC2N3CC1C21NOC(NO)(OC(=O)C3=C=O)O1, 332, 668
CC1=C2CN3C(=C=O)C(=O)OC4(NO)ONC2(O4)C3O1, 0, 1000
CC1=C2CN3C(=C=O)C(=O)OC45ONC2(O4)C3(O1)N5O, 0, 1000
CC1=C2C(=N)N3C(=C=O)C(=O)OC45ONC2(O4)C3(O1)N5O, 0, 1000
CC1=C2C(=N)N3C(=C=O)C(=O)OC4(O)ONC2C3(O1)N4O, 0, 1000
CC=C1C(=N)N2C(=C=O)C(=O)OC3(O)ONC1C2(O)N3O, 625, 375
CC=C1C(N)N2C(=C=O)C(=O)OC3(O)ONC1C2(O)N3O, 716, 284
C=C1C(=O)OC2(O)ONC3C(=CC)C(N)N1C3(O)N2O, 708, 292
C=C1C(=O)OC2(O)ONC3C(=CC)C(N)N1C3(O)N2OC, 691, 309
C=C1C(=O)OC2(O)ONC3(C)C(=CC)C(N)N1C3(O)N2OC, 656, 344
C=C1C(=O)OC2(O)ONC3(C)C(=CC)C(N)N1C3(O)N2OC=O, 632, 368
C=CC12NOC3(O)OC(=O)C(=C)N(C(N)C1=CC)C2(O)N3OC=O, 633, 367
O=C(O)CN(CC(=O)O)CC(=O)O, 999, 1
C=C(C(=O)O)N(CC(=O)O)CC(=O)O, 991, 9
C=C(C(=O)O)N(CC(=O)O)CC(=O)OC, 994, 6
C=C(C(=O)O)N(CC(=O)OC)CC(=O)OC, 996, 4
C=C(C(=O)O)N(CC(=O)OC)CC(=O)OC=N, 994, 6
C=C(C(=O)O)N(CC(=O)OC)C(=C)C(=O)OC=N, 997, 3
C=C(C(=O)O)N(CC(=O)OC)C(=C)C(=O)OC=NC, 996, 4
C=C(C(=O)O)N(CC(=O)OC)C(=C)C(=O)OC(N)=NC, 995, 5
C=C(C=O)N(CC(=O)OC)C(=C)C(=O)O, 997, 3
C=C=C(C(=O)O)N(CC(=O)OC)C(=C)C=O, 996, 4
C=C1C(=O)C=C=C(C(=O)O)N1CC(=O)OC, 998, 2
C=C1C(=O)C=C=C(C(=O)O)N1CC=O, 998, 2
C=C1C(=O)C=C=C(C(=O)ON)N1CC=O, 997, 3
C=C1C(=O)C=C=C(C(=O)ON)N1C=C=O, 999, 1
C=NOC(=O)C1=C=CC(=O)C(=C)N1C=C=O, 1000, 0
C=NOC(=O)C1=C=CC(=O)C(=CC)N1C=C=O, 1000, 0
C=NOC(=O)C1=C=CC(=O)C(=CC=O)N1C=C=O, 999, 1
C=C=C(C(=O)ON=C)N(C=C=O)C(C=O)=CC=O, 999, 1
C=C=C(C(=O)ON=C)N(C=C=O)C(=CC=O)C(=O)O, 999, 1
C=C=C(C(=O)ON=C)n1c(=C=O)oc(=O)c1=CC=O, 999, 1
C=NOC(=O)C(=C=C=N)n1c(=C=O)oc(=O)c1=CC=O, 1000, 0
C=NOC(=O)C(=C=C=N)n1c(=C=O)oc(=O)c1=CC(N)=O, 997, 3
C=NOC(=O)C(=C=C=N)n1c(=C=O)oc(=O)c1=CC(N)=O, 998, 2
CC=NOC(=O)C(=C=C=N)n1c(=C=O)oc(=O)c1=CC(N)=O, 999, 1
CC=NOC(=O)C(=C=C=N)N1C(=C=O)OC(O)C1=CC(N)=O, 997, 3
CC=NOC(=O)C(=C=CN)N1C(=C=O)OC(O)C1=CC(N)=O, 999, 1
CC=NOC(=O)C(=C=CN)N1C(=C=O)OC2ONC(=O)C=C21, 999, 1
CC=NOC(=O)C(=C=CN)N1C=CC(=O)NOCOC1=C=O, 999, 1
CC=NOC(=O)C(=C=C(N)N)N1C=CC(=O)NOCOC1=C=O, 995, 5
CC=NOC(=O)C(=C=C(N)N)N1C=CC(=O)NOC(O)OC1=C=O, 995, 5
CC(C)=NOC(=O)C(=C=C(N)N)N1C=CC(=O)NOC(O)OC1=C=O, 998, 2
CC(C)=NOC(=O)C(=C=C(N)N=O)N1C=CC(=O)NOC(O)OC1=C=O, 999, 1
CC(C=O)=NOC(=O)C(=C=C(N)N=O)N1C=CC(=O)NOC(O)OC1=C=O, 999, 1
NCC(C=O)=NOC(=O)C(=C=C(N)N=O)N1C=CC(=O)NOC(O)OC1=C=O, 998, 2
NCC(C=O)=NOC(=O)C(=C=C(N)N=O)N1C=CC(=O)NOC(O)(O)OC1=C=O, 1000, 0
C=C1OC(O)(O)ONC(=O)C=CN1C(=C=C(N)N=O)C(=O)ON=C(C=O)CN, 998, 2
C=C1OC(O)(O)ONC(=O)C=C(C)N1C(=C=C(N)N=O)C(=O)ON=C(C=O)CN, 999, 1
CC1=CC(=O)NOC2(O)OC=C(O2)N1C(=C=C(N)N=O)C(=O)ON=C(C=O)CN, 989, 11
CC1=C(O)C(=O)NOC2(O)OC=C(O2)N1C(=C=C(N)N=O)C(=O)ON=C(C=O)CN, 990, 10
N#CC1=C(O)C(=O)NOC2(O)OC=C(O2)N1C(=C=C(N)N=O)C(=O)ON=C(C=O)CN, 987, 13
C=NC(=C=C(C(=O)ON=C(C=O)CN)N1C2=COC(O)(ONC(=O)C(O)=C1C#N)O2)N=O, 983, 17
O=C(O)CN(CC(=O)O)CC(=O)O, 995, 5
O=C(O)CN(CC(=O)O)CC(O)O, 999, 1
NOC(O)CN(CC(=O)O)CC(=O)O, 1000, 0
NOC(O)(O)CN(CC(=O)O)CC(=O)O, 998, 2
CN(CC(=O)O)CC(=O)O, 1000, 0
CN(CCO)CC(=O)O, 1000, 0
CC(O)CN(C)CC(=O)O, 999, 1
CC(O)C1C(C(=O)O)N1C, 1000, 0
CC(O)C1C(C=O)N1C, 1000, 0
O=CC1C2C(O)C#CN12, 845, 155
O=C1OC2C#CN3C1C23, 1, 999
OC1OC2C#CN3C1C23, 1, 999
NC1(O)OC2C#CN3C2C31, 2, 998
NC1(O)OC2C=CN3C2C31, 804, 196
O=NC1(O)OC2C=CN3C2C31, 803, 197
O=NC1(O)OC2C=CN3C2C31, 796, 204
O=NC1(O)OCC=CN2CC21, 998, 2
O=NC1(O)OCC(O)=CN2CC21, 999, 1
O=NC12OCC(O)=C(O1)N1CC12, 778, 222
O=NC12CCNC(=C(O)CO1)O2, 805, 195
COC1(N=O)CCNC(=CO)O1, 998, 2
O=COC1(N=O)CCNC(=CO)O1, 1000, 0
O=NC1CCNC(=CO)O1, 1000, 0
O=NC12CCNC(=CO1)O2, 851, 149
CNC1=COC(C)(N=O)O1, 1000, 0
CNC1=COC(N=O)O1, 1000, 0
CNC(=CO)OCN=O, 1000, 0
O=NCOC(=CO)NCO, 1000, 0
O=C=C(NCO)OCN=O, 1000, 0
O=C=C1NC(O)C(N=O)O1, 1000, 0
NC1(N=O)OC(=C=O)NC1O, 1000, 0
NC1(N=O)OC(=C=O)N2OC21, 1000, 0
CC12ON1C(=C=O)OC2(N)N=O, 999, 1
CC12ON1C(=C=O)OC2(N)N, 1000, 0
N#CC12ON1C(=C=O)OC2(N)N, 997, 3
N#CC12ON1COC2(N)N, 999, 1
CC1OC(N)(N)C2(C#N)ON12, 1000, 0
CC1NC(O)(C#N)C(N)(N)O1, 999, 1
