smiles,BDE,IP
C1=C(OC=C(C1=O)O)CO,71.1640022277832,158.670174296335
C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,75.97218246459961,155.47416081894278
C1=CC(=C(C(=C1)O)O)C(=O)O,78.17629394531251,154.74642305661203
C1=CC(=C(C(=C1C(=O)C2=CC(=C(C(=C2)O)O)O)O)O)O,68.15897369384766,139.63124938259125
C1=CC(=C(C(=C1C=O)O)O)O,67.78381118774415,152.60062603456498
C1=CC(=C(C(=C1CNNC(=O)C(CO)N)O)O)O,66.22520141601562,136.5564903899312
C1=CC(=C(C2=C1C=CC(=O)O2)O)O,72.74146041870118,155.1148318952179
C1=CC(=C(C=C1Br)C=NN2C(=NN=N2)N)O,77.38416595458985,152.00206476208686
C1=CC(=C(C=C1C(=O)C2=C(C=C(C=C2)O)O)O)O,78.08750381469727,152.52867260935665
C1=CC(=C(C=C1C(=O)O)O)O,69.2493049621582,160.5702121193123
C1=CC(=C(C=C1C(C(C(=O)O)N)O)O)O,69.24931182861329,146.11370491107704
C1=CC(=C(C=C1C(CN)O)O)O,69.24931182861329,147.99086521924974
C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,83.99878005981445,132.24390497036458
C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O,83.70091323852539,136.12020720138432
C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O,83.62879486083985,153.71194422236326
C1=CC(=C(C=C1C2=CC(=C(C=C2)N)O)O)N,68.14381942749024,127.70430106072189
C1=CC(=C(C=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,69.24931869506837,144.84031646930458
C1=CC(=C(C=C1C=CC(=O)O)O)O,69.24931182861329,151.25303405092004
C1=CC(=C(C=C1C=CC2=CC(=CC(=C2)O)O)O)O,69.24931182861329,141.2063733832431
C1=CC(=C(C=C1C=CC2=CC(=CC(=O)O2)O)O)O,69.24931182861329,146.2518557513881
C1=CC(=C(C=C1C=O)O)O,72.8451026916504,159.20951887606265
C1=CC(=C(C=C1CC(=O)O)F)O,78.36525192260743,161.86579328167917
C1=CC(=C(C=C1CC(=O)O)O)O,69.24931182861329,150.00221522771957
C1=CC(=C(C=C1CCC(=O)O)C=O)O,84.0357421875,162.4073494910419
C1=CC(=C(C=C1CCN)O)O,70.81230239868164,141.97186444693088
C1=CC(=C(C=C1Cl)N=CC2=CNNC2=O)O,73.17932739257813,137.89512204339266
C1=CC(=C(C=C1N)O)C(=O)O,84.64343032836915,150.52991775605918
C1=CC(=C(C=C1NC(=O)C2=C(C(=CC(=C2)Cl)Cl)O)Cl)Cl,76.85946578979492,153.66580349774122
C1=CC(=C(C=C1O)C(=O)O)NC(=O)CSCC2=C(C=C(C=C2)Cl)Cl,79.41419906616211,139.86735905874968
