SMILES
[As]#[In]
[B-](F)(F)(F)F.[K+]
[B-](F)(F)(F)F.[Na+]
[B-](F)(F)(F)F.C1COCCN1CCC[NH+]=C2C=C(OC3=C2C=C(C=C3)Cl)C4=CC=CC=C4
[B-](F)(F)(F)F.C=C(C1=CC(=CC=C1)Br)[N+]2=CC=CC=C2
[B-](F)(F)(F)F.C=C(C1=CC=C(C=C1)Br)[N+]2=CC=CC=C2
[B-](F)(F)(F)F.C=C(C1=CC=C(C=C1)Cl)[N+]2=CC=CC=C2
[B-](F)(F)(F)F.C=C(C1=CC=CC=C1)[N+]2=CC=CC=C2
[B-](F)(F)(F)F.C=C(C1=CC=CC=C1Cl)[N+]2=CC=CC=C2
[B-](F)(F)(F)F.C[N+]1=CN(C=C1)CCO
[B-](F)(F)(F)F.CC[N+]1(CCCC1)C
[B-](F)(F)(F)F.CC[N+]1=CC=CC=C1
[B-](F)(F)(F)F.CCC[N+]1(CCCCC1)C
[B-](F)(F)(F)F.CCCC[N+]1(CCCC1)C
[B-](F)(F)(F)F.CCCC[N+]1(CCCCC1)C
[B-](F)(F)(F)F.CCCC[N+]1=CC=C(C=C1)C
[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C
[B-](F)(F)(F)F.CCCC[N+]1=CC=CC=C1
[B-](F)(F)(F)F.CCCC[N+]1=CC=CC=C1C
[B-](F)(F)(F)F.CCCCCC[N+]1=CC=CC=C1
[B-](F)(F)(F)F.CCCCCCCCCCCCCCCCN1C=C[N+](=C1)C
[B-](F)(F)(F)F.CCCCCCCCCCCCN1C=C[N+](=C1)C
[B-](F)(F)(F)F.CCCCCCCCCCN1C=C[N+](=C1)C
[B-](F)(F)(F)F.CCCCCCCCN1C=C[N+](=C1)C
[B-](F)(F)(F)F.CCCCCCN1C=C[N+](=C1)C
[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1)C
[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C
[B-](F)(F)(F)F.CCCN1C=C[N+](=C1)C
[B-](F)(F)(F)F.CCN1C=C[N+](=C1)C
[B-](F)(F)(F)F.CCN1C=C[N+](=C1C)C
[B-](F)(F)(F)F.CN(C)CC[NH+]=C1C=C(OC2=C1C=C(C=C2)Cl)C3=CC=CC=C3
