ChEMBL ID,Name,Synonyms,Type,Max Phase,Molecular Weight,Targets,Bioactivities,AlogP,PSA,HBA,HBD,#RO5 Violations,#Rotatable Bonds,Passes Ro3,QED Weighted,CX ApKa,CX BpKa,CX LogP,CX LogD,Aromatic Rings,Structure Type,Inorganic Flag,Heavy Atoms,HBA Lipinski,HBD Lipinski,#RO5 Violations (Lipinski),Molecular Weight (Monoisotopic),Molecular Species,Molecular Formula,Smiles
CHEMBL1288580,,,Small molecule,0,193.16,1,1,-0.1,94.22,3,4,0,1,N,0.37,7.24,None,-0.63,-1.01,1,MOL,-1,14,6,4,0,193.0487,NEUTRAL,C8H7N3O3,O=C1NC(=O)/C(=C/c2cc(O)c[nH]2)N1
CHEMBL1321807,,,Small molecule,0,167.16,61,62,1.06,70.16,2,2,0,4,N,0.66,4.16,None,0.36,-2.7,1,MOL,-1,12,4,2,0,167.0582,ACID,C8H9NO3,O=C(O)CCC(=O)c1ccc[nH]1
CHEMBL1622246,,,Small molecule,0,164.23,,,2.3,35.82,3,1,0,2,Y,0.54,None,4.26,1.74,1.74,1,MOL,-1,11,2,1,0,164.0408,NEUTRAL,C8H8N2S,CNc1ccc(SC#N)cc1
CHEMBL3214121,,,Small molecule,0,177.21,4,4,0.51,57.21,4,0,0,2,N,0.49,None,8.24,-0.05,-0.9,1,MOL,-1,13,5,0,0,177.1014,NEUTRAL,C8H11N5,CN(C)/C=N/c1c(C#N)cnn1C
CHEMBL3249285,,,Small molecule,0,185.61,1,2,2.06,38.33,2,1,0,1,Y,0.73,None,None,2.07,2.07,1,MOL,-1,12,3,1,0,185.0244,NEUTRAL,C8H8ClNO2,CNC(=O)Oc1cccc(Cl)c1
CHEMBL221182,,4-Methylbenzenesulfonohydrazide,Small molecule,0,186.24,3,4,0.15,72.19,3,2,0,2,N,0.51,10.25,1.6,0.8,0.8,1,MOL,-1,12,4,3,0,186.0463,NEUTRAL,C7H10N2O2S,Cc1ccc(S(=O)(=O)NN)cc1
CHEMBL251969,,,Small molecule,0,189.3,1,2,3.05,26.02,1,1,0,1,N,0.72,None,9.83,3.11,0.77,1,MOL,-1,14,1,2,0,189.1517,BASE,C13H19N,C[C@H]1CCC[C@](N)(c2ccccc2)C1
CHEMBL3244684,,,Small molecule,0,165.19,4,6,1.23,53.35,3,2,0,2,Y,0.69,8.97,6.45,0.55,0.49,1,MOL,-1,12,3,2,0,165.079,NEUTRAL,C9H11NO2,C=Cc1c(CO)cnc(C)c1O
CHEMBL254669,,1-(4-Fluorophenyl)Cyclohexanamine,Small molecule,0,193.26,1,2,2.94,26.02,1,1,0,1,Y,0.73,None,9.77,2.96,0.68,1,MOL,-1,14,1,2,0,193.1267,BASE,C12H16FN,NC1(c2ccc(F)cc2)CCCCC1
CHEMBL3250339,,,Small molecule,0,151.13,9,41,0.35,58.37,5,1,0,1,N,0.34,5.3,None,0.42,-1.51,1,MOL,-1,8,4,1,0,128.9997,ACID,C3H2N3NaOS,[Na+].[O-]/N=C/c1cnns1
CHEMBL1321329,,,Small molecule,0,165.24,14,16,2.27,46.25,2,2,0,0,Y,0.46,10.58,4.68,2.39,2.38,1,MOL,-1,12,2,3,0,165.1154,NEUTRAL,C10H15NO,CC(C)(C)c1ccc(O)c(N)c1
CHEMBL488672,,,Small molecule,0,143.1,1,1,-0.58,85.56,5,1,0,1,N,0.25,3.6,None,-1.31,-3.57,1,MOL,-1,10,6,1,0,143.0331,ACID,C4H5N3O3,Cc1no[n+]([O-])c1/C=N/O
CHEMBL443162,,,Small molecule,0,190.22,1,2,1.58,24.39,2,1,0,4,N,0.33,None,3.24,1.76,1.76,1,MOL,-1,14,2,1,0,190.0906,NEUTRAL,C11H11FN2,C#CCN/N=C/Cc1ccc(F)cc1
CHEMBL3196757,,,Small molecule,0,197.26,14,16,1.1,49.56,3,2,0,3,Y,0.43,11.36,0.24,1.31,1.31,1,MOL,-1,13,4,2,0,197.0623,NEUTRAL,C8H11N3OS,CCNC(=S)N/N=C/c1ccco1
CHEMBL2268884,ALLYL 2-FUROATE,,Small molecule,0,152.15,2,10,1.62,39.44,3,0,0,3,Y,0.49,None,None,1.77,1.77,1,MOL,-1,11,3,0,0,152.0473,NEUTRAL,C8H8O3,C=CCOC(=O)c1ccco1
CHEMBL2287127,,,Small molecule,0,181.24,3,14,1.04,62.73,5,2,0,4,N,0.73,None,6.88,1.38,1.26,1,MOL,-1,13,5,2,0,181.1327,NEUTRAL,C8H15N5,CCNc1nc(C)nc(NCC)n1
CHEMBL3245982,,,Small molecule,0,183.21,1,2,0.01,81,4,2,0,3,N,0.65,13.05,7,-0.32,-0.47,1,MOL,-1,13,5,3,0,183.1008,NEUTRAL,C8H13N3O2,COC(=O)C(N)C(C)c1c[nH]cn1
CHEMBL3246009,,,Small molecule,0,190.25,1,1,1.3,55.98,2,1,0,1,Y,0.73,None,5.21,1.52,1.52,1,MOL,-1,14,3,2,0,190.1106,NEUTRAL,C11H14N2O,Cc1cnc2c(c1)CCCC2C(N)=O
CHEMBL3246019,,,Small molecule,0,188.23,1,2,1.57,50.73,2,0,0,0,Y,0.46,12.05,1.48,1.18,1.18,1,MOL,-1,14,3,0,0,188.095,NEUTRAL,C11H12N2O,Cc1cc2c([n+]([O-])c1)C(C#N)CCC2
